title,genre,youtube_url
Meat Loaf - I'd Do Anything For Love (But I Won't Do That) (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=9X_ViIPA-Gc
The Cranberries - Dreams (Dir: Peter Scammell) (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Yam5uK6e-bQ
Eric Carmen - Hungry Eyes (Official HD Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=2ssCL292DQA
Nirvana - Lithium (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=pkcJEvMcnEg
Marilyn Manson - The Beautiful People,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Ypkv0HeUvTc
Guns N' Roses - Estranged,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=dpmAY059TTY
Soundgarden - Black Hole Sun,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=3mbBbFH9fAg
Where Starlight Lies,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=6DBTx8GX894
Fleetwood Mac - Dreams (Official Music Video) [4K],rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Y3ywicffOj4
Bryan Adams - Summer Of '69 (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=eFjjO_lhf9c
Queen - We Are The Champions (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=04854XqcfCY
Alanis Morissette - Ironic (Official 4K Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Jne9t8sHpUc
Nirvana - Heart-Shaped Box,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=n6P0SitRwy8
Van Halen - Jump (Official Music Video) [HD],rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=SwYN7mTi6HM
"AC/DC - T.N.T. (Live At River Plate, December 2009)",rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=44XYEeD1A1U
Queen - The Show Must Go On (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=t99KH0TR-J4
Europe - Carrie (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=KmWE9UBFwtY
Midnight Oil - Beds Are Burning,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=ejorQVy3m8E
Eddie Valero - Zombies (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=hkfXye8yjOk
Prince - Purple Rain (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=TvnYmWpD_T8
Patrick Swayze - She's Like The Wind (Official HD Video) ft. Wendy Fraser,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=lU9p1WRfA9w
The Smashing Pumpkins - 1979 (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=4aeETEoNfOg
The Jimi Hendrix Experience - All Along The Watchtower (Official Audio),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=TLV4_xaYynY
Knockin' On Heaven's Door,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=f8OHybVhQwc
Queen - Under Pressure (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=a01QQZyl-_I
Paul Young - Everytime You Go Away (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=nfk6sCzRTbM
Elton John - I'm Still Standing,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=ZHwVBirqD2s
Survivor - Burning Heart (Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Kc71KZG87X4
Whitesnake - Is This Love (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=GOJk0HW_hJw
U2 - I Still Haven't Found What I'm Looking For (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=e3-5YC_oHjE
Soul Asylum - Runaway Train (Official HD Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=NRtvqT_wMeY
Michael Bolton - How Am I Supposed To Live Without You,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=YFood_bTOX4
Led Zeppelin - Whole Lotta Love (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=HQmmM_qwG4k
Back for More,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=WoPGkzFkp_k
REO Speedwagon - Can't Fight This Feeling (Official HD Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=zpOULjyy-n8
Tears For Fears - Shout (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Ye7FKc1JQe4
Incubus - Drive,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=fgT9zGkiLig
Bon Jovi - Wanted Dead Or Alive (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=SRvCvsRp5ho
The Cranberries - Ode To My Family (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Zz-DJr1Qs54
Mr. Mister - Broken Wings,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=nKhN1t_7PEY
Beck - Loser (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=YgSPaXgAdzE
Kansas - Carry on Wayward Son (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=P5ZJui3aPoQ
Air Supply - All Out Of Love (Official HD Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=JWdZEumNRmI
Smokie - Living Next Door to Alice (Official Video) (VOD),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Z6qnRS36EgE
Dire Straits - Brothers In Arms (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=jhdFe3evXpk
Blur - Song 2 (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=SSbBvKaM6sk
AC/DC - Shoot To Thrill (Iron Man 2 Version),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=xRQnJyP77tY
Depeche Mode - Personal Jesus (Remastered),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=u1xrNaTO1bI
Hurricane On Saturn feat. Deuce - Monsters (Official Visualizer),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=lL0qHTuh5-4
New Radicals - You Get What You Give (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=DL7-CKirWZE
Cinderella - Don't Know What You Got (Till It's Gone),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=i28UEoLXVFQ
Pearl Jam - Even Flow (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=CxKWTzr-k6s
Twisted Sister - We're Not Gonna Take It (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=4xmckWVPRaI
The Beatles - Let It Be,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=CGj85pVzRJs
Bruce Springsteen - Tougher Than the Rest (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=_91hNV6vuBY
ZZ Top - Gimme All Your Lovin' (Official Music Video) [HD Remaster],rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Ae829mFAGGE
U2 - With Or Without You (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=ujNeHIo7oTE
